Country Name,Country Code,Year,"average_value_Access to electricity, rural (% of rural population)",average_value_Agricultural irrigated land (% of total agricultural land),average_value_Agricultural land (% of land area),average_value_Agricultural land (sq. km),"average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land",average_value_Agricultural methane emissions (% of total),average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural raw materials exports (% of merchandise exports),average_value_Agricultural raw materials imports (% of merchandise imports),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",average_value_Arable land (% of land area),average_value_Arable land (hectares per person),average_value_Arable land (hectares),average_value_Average precipitation in depth (mm per year),average_value_Cereal production (metric tons),average_value_Cereal yield (kg per hectare),average_value_Crop production index (2014-2016 = 100),average_value_Employment in agriculture (% of total employment) (modeled ILO estimate),"average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)",average_value_Fertilizer consumption (% of fertilizer production),average_value_Fertilizer consumption (kilograms per hectare of arable land),average_value_Food production index (2014-2016 = 100),average_value_Forest area (% of land area),average_value_Forest area (sq. km),average_value_Land area (sq. km),average_value_Land under cereal production (hectares),average_value_Livestock production index (2014-2016 = 100),average_value_Permanent cropland (% of land area),average_value_Rural land area (sq. km),average_value_Rural land area where elevation is below 5 meters (% of total land area),average_value_Rural land area where elevation is below 5 meters (sq. km),average_value_Rural population,average_value_Rural population (% of total population),average_value_Rural population growth (annual %),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Surface area (sq. km)
Faroe Islands,FRO,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05730659,0.8,1396,,,,,,,28147,57.602,0.085303009,,
Guatemala,GTM,2014,76.65595331,,35.4031355,37938,,,,5820,,3640,3.020949524,1.248762317,10.0744835,5828330488,,8.714072415,0.061007495,933800,,1900910,2092.4,97.24,31.53000069,11.15999985,42.06999969,,297.9624545,96.41,33.71743188,36131.6,107160,908503,96.17,9.901082493,,,,7709179,50.366,1.089491888,,108890
Guyana,GUY,2011,80.71894057,,5.978562357,11768.8,,,,1170,,810,3.286053151,0.386895418,25.68371672,948084800.6,,2.133604267,0.558489101,420000,,623518,4343.9,89.26,19.40999985,8.81000042,25.05999947,,27.84285714,88.47,94.02143764,185081.2,196850,143537,84.54,0.142240284,,,,553493,73.6,0.664542198,,214970
IDA & IBRD total,IBT,2020,,,,,,,,,,,,,8.823847425,2.99729E+12,,,,,,,,,,,,,,,31.76307132,30511789.4,96060596.43,,,,,,,3183930249,48.53228915,0.090658723,,
Iceland,ISL,2016,100,,18.67331671,18720,,,,310,,340,0.979451099,0.990702304,4.581112806,952558483.4,,1.206982544,0.360721323,121000,,7389,3212.6,110.53,3.900000095,2.180000067,5.420000076,,181.5289256,104.21,0.485386534,486.6,100250,2300,104.08,,,,,21015,6.265,0.831426808,,103000
Kyrgyz Republic,KGZ,2014,99.74463608,9.501662388,55.04223149,105571,,,,3320,,1700,1.911383249,1.561219226,14.71866312,1099203975,,6.676746611,0.219449919,1280600,,1355798,2276.3,89.19,31.59000015,34.47000122,29.61000061,,32.00062471,93.32,6.503566215,12473.84,191800,595628,97.81,0.392075078,,,,3756020,64.365,1.822948607,,199949
Liechtenstein,LIE,2014,100,,33.25,53.2,,,,20,,0,,,,,,14.5,0.062333754,2320,,,,100.6,,,,,,102.44,41.87375,66.998,160,,102.49,,,,,31892,85.687,0.777503641,,160
Lower middle income,LMC,2012,67.14988119,,41.31088269,10541387.99,,,,1261190,,647880,4.047529347,1.976268937,15.03638415,9.33548E+11,,16.58682985,0.142592646,,,767512647,3040.035863,0.262293627,43.31714359,48.91494487,40.83022191,120.0833936,111.1776768,0.300060049,27.2313254,6948676.667,25517218,252469665,0.326914154,3.112442211,,,,1820237563,61.32371934,0.797010188,,26397665
Low & middle income,LMY,2010,70.00875258,,37.30975486,34160758.6,,,,2720670,,1643460,1.671373397,2.362278735,9.371461077,1.9236E+12,,11.00536907,0.176985486,,,1689043556,3133.654863,0.5406892,39.59027383,39.79513979,39.46690358,100.9082925,130.8116064,0.868145078,32.22319351,30374651.51,94052098.35,539000513,1.349410612,1.541714239,78016122.96,0.872011778,710924.0524,3111452274,54.23041775,0.236820894,2.408718973,94053103.83
Late-demographic dividend,LTE,2013,98.64584363,,34.69790404,15459817.8,,,,1004610,,715860,1.366945111,2.349063105,6.582898127,1.28971E+12,,9.058614053,0.181782542,,,968876393,4285.861316,0.179496138,27.9622899,25.33571635,30.01943974,87.32082696,211.3672796,0.195854963,39.39599322,17553074,44555480.3,226062720,0.178057555,1.184568224,,,,931576470,41.95732539,-1.502313536,,45821019.2
Malaysia,MYS,2015,100,5.157544309,26.08421854,85699.7,,,,4810,,10120,1.845001697,1.733730637,8.287499926,24974779158,,2.511976868,0.02726408,825310,,2803864,4054.2,105.76,12.47000027,7.900000095,15.26000023,247.4114497,2105.055313,102.44,59.2427941,194642.2,328550,691589,100.58,22.70479379,,,,7805974,25.787,-1.091628064,,330345
New Caledonia,NCL,2019,100,,,,,,,,,,,,,,,,,,,,,,1.870000005,0.850000024,2.700000048,,,,45.84901532,8381.2,18280,,,,,,,78395,28.896,-1.205788631,,
OECD members,OED,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.75721044,11632704,35511888.36,,,,,,,260249446,18.98440995,-0.653512321,,
Oman,OMN,2016,100,5.88718663,4.639741519,14360,,,,1040,,660,0.023882841,0.457505632,2.279306045,1491607020,,0.181292407,0.012526743,56110,,63171,13004.6,106.06,4.46999979,0.360000014,5.010000229,2.215750631,512.7424701,108.69,0.00904685,28,309500,4858,113.15,0.093344103,,,,783863,17.5,-1.518777429,,309500
Post-demographic dividend,PST,2019,99.99324446,,,,,,,,,,1.362503525,1.123115874,1.249613646,6.27519E+11,,,,,,,,,3.062455612,2.151010925,3.829013246,,,,32.101715,10063077.2,31348558.26,,,,,,,206168977,18.52858478,-0.761885548,,
Qatar,QAT,2018,100,16.41791045,5.831157528,670,,,,200,,130,0.010144773,0.478750769,0.218257651,400142563.2,,1.218450827,0.005032926,14000,,2308,8709.4,119.12,1.210000038,0.01,1.399999976,0.115760444,242.8571429,112.64,0,0,11490,265,108,0.261096606,,,,24062,0.865,-4.311012365,,11490
El Salvador,SLV,2020,,,,,,,,,,,0.843144391,1.817167453,5.112440906,1259640000,,,,,,,,,,,,,,,28.17953668,5838.8,20720,,,,,,,1722476,26.556,-2.089796438,,
South Sudan,SSD,2011,0.934036025,,45.14901071,285332,,,,23800,,20360,,,4.676936817,697205419.9,,,,,,,,,62.52999878,76.86000061,49.29000092,,,,11.32475396,71570,631978.41,,,,,,,8058024,81.968,3.124073832,,633906.795
Tanzania,TZA,2010,2.519728512,,42.27816663,374500,,,,30080,,19370,5.593322953,0.858445787,25.58240689,8190015656,,13.09550689,0.26157626,11600000,,8643198,1647.9,67.26,70.38999939,74.01999664,66.91999817,,8.786637931,69.82,56.38971551,499500.1,885800,5244863,81.38,2.088507564,886549.5625,0.084300725,750.2388306,31878948,71.886,1.977282625,0.396630045,947300
"Bahamas, The",BHS,2012,100,,1.398601399,140,,,,10,,20,0.39225153,1.34181249,1.072711161,115000000,,0.799200799,0.02200335,8000,1292,690,7340.4,95.46,2.619999886,0.460000008,4.599999905,,155.0975,94.36,50.93506494,5098.6,10010,94,91.97,0.3996004,,,,63510,17.468,0.78563195,,13880
Bolivia,BOL,2019,87.88643041,,,,,,,,,,,,12.22175758,4998127221,,,,,,,,,30.54000092,30.30999947,30.72999954,,,,47.10953568,510337.6,1083300,,,,,,,3480065,30.227,0.254399034,,
Gibraltar,GIB,2011,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,,,,,,,0,0,,,10
"Gambia, The",GMB,2011,26.34768891,,60.77075099,6150,,,,750,,350,2.375093181,0.759609357,27.20242061,383471041.9,,44.46640316,0.243487784,450000,,183189,868.5,89.9,31.11000061,38.81000137,25.56999969,,10.27555556,90.53,29.07786561,2942.68,10120,210923,91.92,0.494071146,,,,806086,43.616,1.376153323,,11300
Guam,GUM,2016,100,,33.33333333,180,,,,,,,,,,,,1.851851852,0.006136927,1000,,58,2631.9,89.69,0.25999999,0.100000001,0.360000014,,,91.12,51.85185185,280,540,22,99.25,16.66666667,,,,8771,5.383,-0.862759353,,540
Croatia,HRV,2015,100,,27.16380986,15372,,,,1410,,1220,5.326455041,1.219304184,3.010336887,1490891846,,14.90899452,0.200708725,843700,,2802791,5695,96.85,9.229999542,7.429999828,10.77000046,34.70527007,181.7861799,96.62,33.96359781,19220,56590,492151,96.42,1.334157978,,,,1843070,43.845,-1.351865329,,88073
IDA & IBRD total,IBT,2019,81.47219344,,,,,,,,,,1.634583141,1.997639063,8.089362139,2.85125E+12,,,,,,,,,31.68977668,30.91556786,32.17363297,,,,31.8155659,30562216,96060596.43,,,,,,,3181046353,49.05134168,0.113662001,,
IDA blend,IDB,2016,46.9527372,,45.04993482,1975240.521,,,,236320,,128200,1.915894124,1.958859395,22.19888146,2.08296E+11,,19.68627168,0.164475022,,,94971160,2192.382991,,42.30482332,47.09778682,39.60640769,116.2742642,73.17949948,,30.03091255,1316722.779,4384558,43318821,,2.472769205,,,,308074091,58.7037484,1.527340524,,4459474
Russian Federation,RUS,2013,100,,13.15843626,2154940,,,,53820,,40400,1.807298333,0.941807178,2.993600488,68627490293,,7.428098287,0.847686902,121649000,,90364971,2241,90.46,6.989999771,5.400000095,8.510000229,10.0918068,15.29827619,92.44,49.76607349,8150125.16,16376870,40323672,94.84,0.10948368,,,,37508423,26.137,-0.062142725,,17098250
Turkmenistan,TKM,2015,100,,72.00646905,338380,,,,6430,,2790,,,9.306538759,3331714286,,4.128274424,0.34858964,1940000,,1617000,1199.2,99.94,24.52000046,22.60000038,25.90999985,,,100.71,8.782159045,41270,469930,1348355,101.1,0.12767859,,,,2765000,49.683,1.000284579,,488100
Ukraine,UKR,2019,100,,,,,,,,,,,,8.968303089,13804864271,,,,,,,,,13.81999969,11.40999985,15.98999977,,,,16.71384191,96840,579400,,,,,,,13549776,30.527,-0.926580194,,
"Venezuela, RB",VEN,2010,92.72328822,,24.37503543,215000,,,,23960,,11240,0.03005925,1.185393644,5.375265166,21135131665,,2.947678703,0.091420721,2600000,,3664849,3576,106.5,8.279999733,1.559999943,12.64000034,67.87021225,181.9,104.18,53.85749107,475050,882050,1024857,103.59,0.793605805,868222.75,1.357877599,12256.56543,3389188,11.917,1.230367853,0.740733387,912050
Samoa,WSM,2011,96.16958017,,16.96113074,480,,,,140,,50,0.339429618,2.278766885,8.83699538,65164153.47,,5.653710247,0.085347444,16000,,,,97.64,33.79999924,8.43999958,47.09000015,,0.9375,96.39,58.65936396,1660.06,2830,,91.26,8.833922261,,,,150243,80.143,1.092855854,,2840
Poland,POL,2015,100,,46.9349097,143710,,,,14250,,16870,1.292930817,1.657810858,2.374644109,11346332405,,35.5563539,0.286602483,10887000,,28002726,3727.8,92.32,11.52999973,10.35000038,12.48999977,66.07484927,174.0975475,96.51,30.76521114,94200,306190,7511852,101.18,1.276984879,,,,15088963,39.722,0.248543034,,312680
United Arab Emirates,ARE,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.467755562,3173,71020,,,,,,,1281005,12.952,-0.76048596,,
Armenia,ARM,2017,99.52897521,9.229759561,58.87249737,16761,,,,760,,1120,0.556840213,1.133615144,14.99426012,1728457123,74.22011306,15.66561293,0.151453975,446000,562,298029,1975.1,86.9,31.34000015,34.86000061,28.30999947,,202.5544843,94.21,11.55953635,3291,28470,150892,105.68,2.040744643,,,,1086539,36.897,0.23699554,,29740
China,CHN,2011,99.71149854,10.20675379,56.11691083,5288851,,,,341020,,348630,0.550194897,4.270062067,9.177653795,6.93051E+11,,12.80041683,0.089753298,120640100,,521171808,5709.4,91.1,34.79999924,31.42000008,37.49000168,93.93347402,440.8322592,91.95,21.49109623,2025471.54,9424700.9,91283496,94.05,1.635171255,,,,665196496,49.489,-2.084248533,,9600000.9
Costa Rica,CRI,2014,98.26869653,,34.8217783,17780,,,,2320,,1400,2.196942815,0.954421859,4.88788379,2542501621,,4.406580494,0.046920063,225000,,234587,4497.5,100.7,11.15999985,3.920000076,15.67000008,,584.1529333,100.51,57.51398355,29366.64,51060,52159,100.36,6.2475519,,,,1153723,24.059,-2.839288713,,51100
Dominican Republic,DOM,2020,,,,,,,,,,,,,6.041477525,4763384971,,,,,,,,,,,,,,,44.3821155,21441,48310,,,,,,,1894044,17.46,-2.98753706,,
"Egypt, Arab Rep.",EGY,2017,100,,3.853502235,38359.688,,,,14770,,15430,1.77962389,2.877214335,11.4852853,27074687500,79.16129032,2.924274248,0.030183437,2910968.8,18.1,22923098,7401.1,100.61,25.04999924,36.90000153,21.98999977,51.63632963,569.1232417,101.06,0.045185594,449.8,995450,3097260,102.3,0.929227987,,,,55256782,57.295,2.137967712,,1001450
IBRD only,IBD,2018,95.59474032,,36.89711574,26223177.98,,,,2028730,,1299360,1.576310974,2.190602353,7.093815753,2.25653E+12,,11.09617475,0.165073974,,,1827998653,4140.689385,,27.26618133,24.21163135,29.05641989,94.72817993,166.6817789,,33.96078584,24136296.66,71071078.2,441471588,,1.649403062,,,,2149081256,44.98465581,-0.481777285,,73017747.1
Low income,LIC,2015,18.58055115,,38.85299602,5809957.1,,,,353260,,227730,,,26.43315253,1.25577E+11,,9.219236923,0.230279973,,,89096569,1351.701637,,61.65746058,65.99784216,58.32736282,353.9891631,9.334399271,,21.12191518,3158506,14953691.34,65914154,,0.747674821,,,,400457173,68.56146329,2.072613501,,15233959.08
Mauritius,MUS,2019,100,,,,,,,,,,1.248177099,2.203806177,2.897809032,407036047.1,,,,,,,,,5.96999979,3.930000067,7.230000019,,,,19.07881773,387.3,2030,,,,,,,749731,59.234,0.077791473,,
Nicaragua,NIC,2010,53.38523604,,41.76499917,50260,,,,6050,,2430,1.081585388,0.727491945,16.98128338,1487329325,,12.72228685,0.262875129,1531000,,969740,2086.1,82.32,29.46999931,7.039999962,42.90000153,,34.73612018,90.73,34.80264251,41881.5,120340,464851,98.12,2.451387735,115694.2891,2.989496402,3544.845215,2509179,43.083,0.903486877,0.557540935,130370
Portugal,PRT,2016,100,13.09909009,39.50664588,36190.3,,,,4780,,2300,2.362971601,1.935175119,2.065810984,4261479317,,10.72237942,0.09512707,982230,,1138085,4422.4,95.46,6.909999847,4.789999962,8.930000305,120.6475814,194.9749448,98.8,36.15499489,33120,91605.6,257348,103.08,8.306806571,,,,3708283,35.914,-1.895608178,,92225.6
Saudi Arabia,SAU,2011,100,,80.65721104,1733880,,,,2550,,3090,0.017619601,0.844298579,2.171427783,14575466667,,1.469514209,0.111753421,3159000,,1414016,5483.3,125.86,4.260000229,0.189999998,4.880000114,8.244243421,63.46945236,103.72,0.454484135,9770,2149690,257875,87.62,0.106526988,,,,5002798,17.698,1.81472054,,2149690
Turkmenistan,TKM,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.782159045,41270,469930,,,,,,,2863849,47.484,0.507457328,,
Uzbekistan,UZB,2012,99.81477483,,59.32299013,252360,,,,17330,,10940,,,30.73355634,19555409845,91.18666568,9.623883404,0.13750021,4094000,206,7431597,4614.1,73.06,26.60000038,24.62999916,27.98999977,70.16897343,211.3861749,76.81,8.06187118,34295.2,425400,1610629,81.93,0.853314528,,,,14574618,48.95,1.676600054,,447400
World,WLD,2016,78.10572918,,36.70122139,47691466.94,,,,3465770,,2263530,1.526050647,1.517813123,3.479241352,3.1621E+12,,10.76475407,0.18723915,,,2940242868,4009.231276,,28.32058994,26.9226555,29.21009138,90.59523012,138.1559634,,30.71642094,39958245.9,129956634.1,733367261,,1.293708711,,,,3386902997,45.62916685,0.162851747,,134549738.3
Africa Western and Central,AFW,2013,23.25574177,,39.74019156,3594810.3,,,,181460,,117740,4.484174851,1.889143369,20.68410059,1.6394E+11,,11.11398354,0.264260346,,,57650900,1114.155072,0.159891136,46.4920801,41.53505277,50.56691953,175.8372776,9.669983149,0.181735043,20.41014307,1846256.64,9045780,51743941,0.206055102,2.023706082,,,,214830600,56.46929568,1.620431478,,9166270
Australia,AUS,2019,100,,,,,,,,,,2.134787268,0.662080983,2.121596985,29629523673,,,,,,,,,2.559999943,1.710000038,3.289999962,,,,17.42131456,1340051,7692020,,,,,,,3519751,13.876,0.7177624,,
Barbados,BRB,2018,100,,23.25581395,100,,,,20,,30,0.171049725,1.00838211,,,,16.27906977,0.024420876,7000,,109,2912.3,113.2,2.700000048,1.629999995,3.74000001,,77.98857143,107.81,14.65116279,63,430,38,105.99,2.325581395,,,,197360,68.853,0.160749319,,430
Europe & Central Asia,ECS,2019,99.99377634,,,,,,,,,,1.261666647,1.337189704,1.949447901,4.55045E+11,,,,,,,,,7.962222069,6.861737741,8.877939586,,,,38.49804569,10566819.1,27447886.69,,,,,,,253542322,27.58831779,-0.424443892,,
Ethiopia,ETH,2020,,,,,,,,,,,,,35.45140633,38161685599,,,,,,,,,,,,,,,15.11422483,170685,1129300.39,,,,,,,90022234,78.305,1.94296408,,
France,FRA,2017,100,,52.4100669,286974.99,,,,42080,,32910,0.970317586,1.133737788,1.542414774,39929122125,11.77471821,33.72136052,0.275925184,18464367,867,68730244,7306.7,103.67,2.609999895,1.570000052,3.549999952,537.9636977,170.4537719,101.62,31.05210964,170028,547557,9406524,99.72,1.825212718,,,,13263152,19.82,-1.028011757,,549087
Middle East & North Africa,MEA,2020,,,,,,,,,,,,,7.939552162,1.633E+11,,,,,,,,,,,,,,,2.049756272,230051.3,11223349,,,,,,,158068552,34.02586346,0.842190886,,
Nepal,NPL,2020,,,,,,,,,,,,,23.12677377,7783818849,,,,,,,,,,,,,,,41.59072201,59620.3,143350,,,,,,,23141618,79.424,1.29791177,,
Palau,PLW,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.02173913,414.1,460,,,,,,,3440,19.012,-2.185250844,,
Sudan,SDN,2017,35.46782756,,36.87255229,681861.6,,,,47190,,27840,,,24.12706748,10861325171,96.19454242,10.71963143,0.485702269,19823160,250,5164789,584,100.94,39.52000046,54.99000168,34.18999863,,8.703270316,101.81,10.20745857,188760.3,1849238.953,8843354,102.85,0.090848184,,,,26785833,65.63,2.016561636,,1854106.923
Sub-Saharan Africa (IDA & IBRD countries),TSS,2012,20.21852951,,42.0644268,10033593.64,,,,508850,,355540,4.829579523,0.922079387,15.86797742,2.60999E+11,,9.270017974,0.237170206,,,135946793,1414.601357,0.173587326,56.73293219,57.56823673,56.02407578,370.6505977,14.18464921,0.188160175,27.62104013,6588424.32,23852918.97,96102736,0.187323317,1.21798487,,,,577825972,62.96280676,1.932500058,,24287434.56
"Yemen, Rep.",YEM,2019,60.63289394,,,,,,,,,,0.0171672,0.576345861,,,,,,,,,,,27.54999924,42.27999878,26.51000023,,,,1.039831809,5490,527970,,,,,,,18292399,62.727,1.29967238,,
United Arab Emirates,ARE,2016,100,21.83428869,5.404111518,3838,,,,1220,,760,0.085047464,0.269756566,0.776054568,2770864534,,0.626584061,0.004753778,44500,,6101,31538.2,105.55,1.809999943,0.01,2.160000086,3.378658537,708.5008989,106.47,4.467755562,3173,71020,193,107.23,0.553365249,,,,1313813,14.035,-0.998866612,,98647.9
Belgium,BEL,2016,100,,44.61030383,13508,,,,6250,,3340,1.316511235,1.231242206,0.628433476,2989706834,,28.05151915,0.074959701,849400,,2287774,6984.8,90.67,1.25,0.75,1.679999948,20.4287812,294.8151636,96.87,22.76420079,6893,30280,327535,100.79,0.759577279,,,,235807,2.081,-1.538941856,,30530
Benin,BEN,2011,13.62363202,,32.36963462,36500,,,,2660,,1990,39.71549311,2.620918556,25.79700083,2758556202,,22.17098262,0.264247457,2500000,,1544233,1517.8,83.89,43.61000061,36.11999893,50.81000137,,4.44,84.32,31.79451933,35851.5,112760,1017434,88.22,5.321035828,,,,5335151,56.392,1.894671427,,114760
High income,HIC,2013,99.99916595,,35.16070598,12281999.62,,,,620250,,508800,1.53982332,1.260386394,1.459006232,7.28607E+11,,9.571283919,0.285154934,,,847040958,5645.850113,0.150642745,3.207903044,2.259841172,3.943332791,73.84092364,140.4107393,0.166413225,29.1323192,10165757.22,34931608.49,150027802,0.146769861,0.477538092,,,,228681647,19.49021104,-0.270192653,,37093702.43
Isle of Man,IMN,2018,100,,70.70175439,403,,,,,,,,,0.410935899,30787191.46,,40.52631579,0.274761219,23100,,,,,,,,,,,6.070175439,34.6,570,,,,,,,39861,47.412,0.278856118,,570
Kiribati,KIR,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.456790123,11.8,810,,,,,,,53041,44.406,-0.145065446,,
Mexico,MEX,2011,96.70448503,6.27613439,53.02245428,1030730,,,,57460,,33980,0.372780208,1.340286743,3.088461554,36458967505,,10.91026004,0.183317466,21209000,,28408737,3240.2,81.2,13.68999958,3.970000029,19.42000008,163.980262,78.95384035,87.08,34.37373904,668208.3,1943950,8767607,94.71,1.379150698,,,,25324581,21.889,0.051575849,,1964380
Malta,MLT,2015,100,36.16813294,31.96875,102.3,,,,60,,50,0.122535659,0.225942294,0.922881637,102360812.2,,28.03125,0.020154903,8970,,12180,4824.3,100.45,1.470000029,0.600000024,2.019999981,,479.0680045,99.25,1.09375,3.5,320,2525,98.24,3.9375,,,,24861,5.586,1.193693742,,320
North America,NAC,2020,,,,,,,,,,,2.136861409,0.960925853,,,,,,,,,,,,,,,,,36.25693036,6567241,18113064,,,,,,,64126774,17.44693345,-0.661657932,,
Philippines,PHL,2013,81.89969303,,41.72116578,124400,,,,50000,,9840,0.987227622,0.66077776,12.4734251,35412394179,,18.74769427,0.056537999,5590000,,25817441,3531.8,104.97,31.04999924,20.12000084,38.09000015,647.3995067,155.8750394,102.21,23.28999564,69443.78,298170,7309980,94.74,17.94278432,,,,53486547,54.097,1.339641713,,300000
Russian Federation,RUS,2016,100,,13.15843626,2154940,,,,51960,,44260,2.511783024,1.115364752,3.840217285,49031394264,,7.428098287,0.842780794,121649000,,117755457,2650.7,103.18,6.71999979,5.019999981,8.319999695,10.91829805,18.68718197,102.21,49.77269955,8151210.3,16376870,44423536,101.07,0.10948368,,,,37292302,25.836,-0.2700287,,17098250
Turkey,TUR,2017,100,13.73705977,49.32629965,379630,,,,20360,,27410,0.394298116,2.543634149,6.038629796,51871604287,84.88230107,25.98391435,0.246534455,19998000,593,36126157,3257.4,108.66,19.37999916,28.20999908,15.30000019,188.9417948,132.229873,107.25,28.26352923,217524.6,769630,11090361,104.26,4.350142276,,,,20567887,25.356,-0.390085326,,785350
Uruguay,URY,2018,100,1.591050164,80.08170495,140159,,,,18840,,7500,17.51017136,1.767770205,5.83152758,3762212250,,11.29528054,0.573132442,1976900,,3386271,5007.7,73.46,8.359999657,3.74000001,12.07999992,2734.601053,210.2581618,92.21,11.3644155,19890,175020,676217,104.94,0.222831676,,,,160944,4.666,-1.627014148,,176220
"Yemen, Rep.",YEM,2017,71.4289689,,44.29740326,233877,,,,4600,,3190,,,6.024135519,1610621242,90.74333801,2.079095403,0.03943623,1097700,167,358355,699,91.48,28.89999962,44.29999924,27.78000069,,13.4895691,92.03,1.039831809,5490,527970,512659,92.76,0.549273633,,,,17809825,63.984,1.456561769,,527970
South Africa,ZAF,2010,76.72430901,1.587350734,79.87123791,968910,,,,17280,,15180,2.060779431,0.983183561,2.387372914,8960990930,,10.33146757,0.244704065,12533000,,14700931,4150.4,94.69,4.849999905,3.769999981,5.639999866,230.0239908,53.78097822,90.5,14.3551509,174140.9,1213090,3542031,86.87,0.354466692,53460.3125,0.055407331,674.1144409,19350794,37.782,0.059632902,0.055264002,1219090
Armenia,ARM,2016,99.8,9.231870229,58.89708465,16768,,,,810,,1520,0.540729936,1.900890311,16.39047353,1728561492,,15.6796628,0.152035985,446400,,598966,3076.1,89.49,33.59999847,36.90999985,30.76000023,,330.4903674,95.23,11.56691254,3293.1,28470,194717,104.35,2.037232174,,,,1083967,36.918,0.369419678,,29740
Belgium,BEL,2015,100,,43.85733157,13280,,,,6290,,3470,1.344926541,1.225061658,0.68641478,3172263707,,27.39431968,0.073575091,829500,,3163733,9842.2,99.94,1.179999948,0.730000019,1.559999943,20.01532385,305.4779988,101.33,22.76420079,6893,30280,321445,102.11,0.743064729,,,,239464,2.124,-1.424674361,,30530
Switzerland,CHE,2013,100,2.249502338,38.58891335,15248.795,,,,4000,,1720,0.161561933,0.541976105,0.656479393,4679044557,,10.19591305,0.049806461,402901.7,,867294,5945.6,92.17,3.529999971,2.769999981,4.179999828,,203.4501716,97.37,31.50708574,12450.34,39516,145871,98.87,0.622560482,,,,2129601,26.326,1.070130268,,41290
Cameroon,CMR,2012,17.75192019,,20.62575363,97500,,,,6890,,5440,15.69170903,1.447838528,13.72152458,3993344123,67.71407571,13.11586385,0.288569837,6200000,1604,3229408,1591.5,91.24,51.40000153,57.34000015,46.20999908,,10.33573387,91.21,43.97723763,207884.8,472710,2029134,92.72,3.278965962,,,,10147706,47.231,1.458438015,,475440
Djibouti,DJI,2020,,,,,,,,,,,,,1.307974674,44267150.57,,,,,,,,,,,,,,,0.250215703,58,23180,,,,,,,216748,21.938,0.805084972,,
European Union,EUU,2018,100,,40.94154655,1637507.299,,,,216400,,173170,1.449876892,1.446023984,1.633891812,2.56141E+11,,24.73822252,0.221392269,,,274220933,5239.905664,,4.515860608,3.335920233,5.509183828,86.75645334,154.8400688,,39.72052633,1588671.1,3999622.479,52333226,,2.986265344,,,,113888731,25.48330292,-0.652196939,,4172838.889
